createdAt,side,liquidity,type,market,price,size,fee
"2023-10-27T16:48:40.444Z","SELL","TAKER","MARKET","BTC-USD","33880","0.15","2.541"
"2023-10-27T15:17:15.937Z","BUY","TAKER","MARKET","BTC-USD","33939","0.15","2.545425"
"2023-10-27T14:29:44.444Z","SELL","TAKER","MARKET","BTC-USD","33930","0.15","2.54475"
"2023-10-26T18:31:30.015Z","BUY","TAKER","MARKET","BTC-USD","34045","0.0898","1.52862"
"2023-10-26T18:31:30.015Z","BUY","TAKER","MARKET","BTC-USD","34045","0.1102","1.875879"
"2023-10-26T15:19:37.005Z","SELL","TAKER","MARKET","BTC-USD","33951","0.1","1.69755"
"2023-10-26T14:24:14.285Z","SELL","TAKER","MARKET","BTC-USD","34175","0.1","1.70875"
"2023-10-23T22:13:07.207Z","BUY","TAKER","STOP_MARKET","BTC-USD","31875","0.35","5.578125"
"2023-10-22T19:03:23.071Z","SELL","TAKER","MARKET","BTC-USD","29897","0.35","5.231975"
"2023-10-22T16:50:16.840Z","SELL","TAKER","MARKET","BTC-USD","29858","0.35","5.22515"
"2023-10-22T07:45:43.289Z","SELL","TAKER","MARKET","MKR-USD","1423","1.242","0.883683"
"2023-10-22T07:45:43.289Z","SELL","TAKER","MARKET","MKR-USD","1423","1.058","0.752767"
"2023-10-22T07:45:43.289Z","SELL","TAKER","MARKET","MKR-USD","1423","0.2","0.1423"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","4.18","0.135432"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","44.43","1.439532"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","43.01","1.393524"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","3","0.0972"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","3","0.0972"
"2023-10-22T07:25:39.937Z","SELL","TAKER","STOP_MARKET","LTC-USD","64.8","2.38","0.077112"
"2023-10-22T06:33:11.955Z","BUY","TAKER","MARKET","LTC-USD","65.2","2.15","0.07009"
"2023-10-22T06:33:11.955Z","BUY","TAKER","MARKET","LTC-USD","65.2","52.61","1.715086"
"2023-10-22T06:33:11.955Z","BUY","TAKER","MARKET","LTC-USD","65.2","45.24","1.474824"
"2023-10-21T18:57:31.046Z","BUY","TAKER","MARKET","MKR-USD","1432","0.145","0.10382"
"2023-10-21T18:57:31.046Z","BUY","TAKER","MARKET","MKR-USD","1432","1.366","0.978056"
"2023-10-21T18:57:31.046Z","BUY","TAKER","MARKET","MKR-USD","1432","0.989","0.708124"
"2023-10-21T06:43:07.076Z","BUY","TAKER","MARKET","BTC-USD","29718","0.7","10.4013"
"2023-10-21T05:12:40.652Z","BUY","TAKER","STOP_MARKET","YFI-USD","5098","0.4082","1.040501"
"2023-10-21T05:12:40.652Z","BUY","TAKER","STOP_MARKET","YFI-USD","5098","0.5918","1.508498"
"2023-10-21T01:59:08.740Z","SELL","TAKER","MARKET","YFI-USD","5019","0.2128","0.534021"
"2023-10-21T01:59:08.740Z","SELL","TAKER","MARKET","YFI-USD","5020","0.5972","1.498972"
"2023-10-21T01:59:08.740Z","SELL","TAKER","MARKET","YFI-USD","5020","0.19","0.4769"
"2023-10-21T01:58:58.473Z","BUY","TAKER","MARKET","YFI-USD","5020","0.0977","0.245227"
"2023-10-21T01:58:58.473Z","BUY","TAKER","MARKET","YFI-USD","5020","1.1171","2.803921"
"2023-10-21T01:58:58.473Z","BUY","TAKER","MARKET","YFI-USD","5020","0.5972","1.498972"
"2023-10-21T01:58:58.473Z","BUY","TAKER","MARKET","YFI-USD","5020","0.188","0.47188"
"2023-10-21T01:58:37.476Z","SELL","TAKER","MARKET","YFI-USD","5019","0.16","0.40152"
"2023-10-21T01:58:37.476Z","SELL","TAKER","MARKET","YFI-USD","5019","0.6487","1.627912"
"2023-10-21T01:58:37.476Z","SELL","TAKER","MARKET","YFI-USD","5019","0.0013","0.003262"
"2023-10-21T01:58:37.476Z","SELL","TAKER","MARKET","YFI-USD","5020","0.19","0.4769"
"2023-10-21T01:57:58.401Z","SELL","TAKER","MARKET","YFI-USD","5020","0.1462","0.366962"
"2023-10-21T01:57:58.401Z","SELL","TAKER","MARKET","YFI-USD","5020","0.8538","2.143038"
"2023-10-21T01:55:23.132Z","SELL","TAKER","MARKET","BTC-USD","29552","0.0147","0.217207"
"2023-10-21T01:55:23.132Z","SELL","TAKER","MARKET","BTC-USD","29552","0.1321","1.951909"
"2023-10-21T01:55:23.132Z","SELL","TAKER","MARKET","BTC-USD","29552","0.5532","8.174083"
"2023-10-20T14:48:33.360Z","BUY","TAKER","MARKET","YFI-USD","4966","0.3938","0.977805"
"2023-10-20T14:48:33.360Z","BUY","TAKER","MARKET","YFI-USD","4965","0.6062","1.504891"
"2023-10-20T14:37:21.790Z","BUY","TAKER","MARKET","BTC-USD","29583","0.401","5.931391"
"2023-10-20T14:37:21.790Z","BUY","TAKER","MARKET","BTC-USD","29583","0.3","4.43745"
"2023-10-20T03:25:16.796Z","BUY","TAKER","STOP_MARKET","LTC-USD","62.8","50","1.57"
"2023-10-19T16:35:41.071Z","SELL","TAKER","MARKET","LTC-USD","61.4","11.06","0.339542"
"2023-10-19T16:35:41.071Z","SELL","TAKER","MARKET","LTC-USD","61.4","0.44","0.013508"
"2023-10-19T16:35:41.071Z","SELL","TAKER","MARKET","LTC-USD","61.4","38.5","1.18195"
"2023-10-18T17:24:44.153Z","SELL","TAKER","MARKET","BTC-USD","28423","0.3118","4.431145"
"2023-10-18T17:24:44.153Z","SELL","TAKER","MARKET","BTC-USD","28423","0.3892","5.531115"
"2023-10-18T15:50:44.746Z","BUY","TAKER","MARKET","BTC-USD","28266","0.6917","9.775796"
"2023-10-18T15:50:44.746Z","BUY","TAKER","MARKET","BTC-USD","28266","0.0097","0.13709"
"2023-10-18T08:14:42.122Z","SELL","TAKER","MARKET","YFI-USD","5103","0.413","1.053769"
"2023-10-18T08:14:42.122Z","SELL","TAKER","MARKET","YFI-USD","5105","0.587","1.498317"
"2023-10-18T07:48:01.738Z","SELL","TAKER","MARKET","BTC-USD","28515","0.7014","10.00021"
"2023-10-18T04:49:30.652Z","BUY","TAKER","MARKET","YFI-USD","5107","0.445","1.136307"
"2023-10-18T04:49:30.652Z","BUY","TAKER","MARKET","YFI-USD","5107","0.185","0.472397"
"2023-10-18T04:49:30.652Z","BUY","TAKER","MARKET","YFI-USD","5107","0.185","0.472397"
"2023-10-18T04:49:30.652Z","BUY","TAKER","MARKET","YFI-USD","5106","0.185","0.472305"
"2023-10-18T04:35:27.624Z","BUY","TAKER","MARKET","BTC-USD","28473","0.1529","2.17676"
"2023-10-18T04:35:27.624Z","BUY","TAKER","MARKET","BTC-USD","28473","0.5481","7.803025"
"2023-10-17T18:57:19.831Z","SELL","TAKER","MARKET","YFI-USD","5071","0.4096","1.03854"
"2023-10-17T18:57:19.831Z","SELL","TAKER","MARKET","YFI-USD","5072","0.5904","1.497254"
"2023-10-17T05:03:25.693Z","SELL","TAKER","MARKET","BTC-USD","28192","0.701","9.881296"
"2023-10-16T18:34:54.888Z","SELL","TAKER","MARKET","BTC-USD","28337","0.1685","2.387392"
"2023-10-16T13:38:00.357Z","BUY","TAKER","MARKET","BTC-USD","28935","0.0314","0.454279"
"2023-10-16T13:38:00.357Z","BUY","TAKER","MARKET","BTC-USD","28928","0.1371","1.983014"
"2023-10-15T18:28:35.535Z","BUY","TAKER","MARKET","BTC-USD","26981","0.2014","2.716986"
"2023-10-14T07:33:40.686Z","SELL","TAKER","MARKET","BTC-USD","26867","0.2014","2.705506"
"2023-10-13T21:00:33.576Z","BUY","TAKER","MARKET","BTC-USD","27004","0.5054","6.82391"
"2023-10-13T21:00:33.576Z","BUY","TAKER","MARKET","BTC-USD","27004","0.005","0.06751"
"2023-10-13T20:55:01.150Z","BUY","TAKER","MARKET","ETH-USD","1555","1.5","1.16625"
"2023-10-13T20:54:38.793Z","BUY","TAKER","MARKET","YFI-USD","5135","0.514","1.319695"
"2023-10-13T20:54:38.793Z","BUY","TAKER","MARKET","YFI-USD","5135","0.486","1.247805"
"2023-10-13T20:54:22.393Z","BUY","TAKER","MARKET","LTC-USD","61.7","15","0.46275"
"2023-10-13T20:52:55.583Z","BUY","TAKER","MARKET","BTC-USD","26918","0.1756","2.3634"
"2023-10-13T20:52:55.583Z","BUY","TAKER","MARKET","BTC-USD","26918","0.0244","0.328399"
"2023-10-13T20:03:33.005Z","BUY","TAKER","MARKET","AAVE-USD","63.39","7","0.221865"
"2023-10-13T20:02:50.747Z","BUY","TAKER","MARKET","BTC-USD","26783","0.2898","3.880856"
"2023-10-13T20:02:50.747Z","BUY","TAKER","MARKET","BTC-USD","26783","0.0102","0.136593"
"2023-10-12T19:13:31.694Z","SELL","TAKER","MARKET","YFI-USD","5048","0.4","1.0096"
"2023-10-11T12:43:44.118Z","SELL","TAKER","MARKET","LTC-USD","61.9","15","0.46425"
"2023-10-10T15:01:23.903Z","SELL","TAKER","MARKET","AAVE-USD","64.04","7","0.22414"
"2023-10-10T14:58:35.163Z","SELL","TAKER","MARKET","BTC-USD","27430","0.3","4.1145"
"2023-10-10T14:30:00.168Z","BUY","TAKER","MARKET","BTC-USD","27570","0.3","4.1355"
"2023-10-08T18:16:32.546Z","SELL","TAKER","MARKET","BTC-USD","27853","0.15","2.088975"
"2023-10-07T06:09:30.662Z","SELL","TAKER","MARKET","BTC-USD","27906","0.15","2.09295"
"2023-10-06T21:38:52.922Z","BUY","TAKER","STOP_MARKET","BTC-USD","28278","0.197","2.785383"
"2023-10-06T21:38:52.922Z","BUY","TAKER","STOP_MARKET","BTC-USD","28275","0.003","0.042412"
"2023-10-06T21:38:52.922Z","BUY","TAKER","STOP_MARKET","BTC-USD","28274","0.1","1.4137"
"2023-10-05T07:26:21.885Z","SELL","TAKER","MARKET","BTC-USD","27588","0.3","4.1382"
"2023-10-05T00:48:52.853Z","BUY","TAKER","STOP_MARKET","BTC-USD","27871","0.3","4.18065"
"2023-10-04T19:22:59.683Z","SELL","TAKER","MARKET","BTC-USD","27733","0.1891","2.622155"
"2023-10-04T19:22:59.683Z","SELL","TAKER","MARKET","BTC-USD","27733","0.1109","1.537794"
"2023-10-04T07:51:58.205Z","BUY","TAKER","MARKET","BTC-USD","27435","0.3","4.11525"
"2023-10-03T06:52:50.086Z","SELL","TAKER","MARKET","BTC-USD","27663","0.3","4.14945"
"2023-10-02T14:24:57.944Z","SELL","TAKER","MARKET","YFI-USD","5426","0.0445","0.120728"
"2023-10-02T14:24:57.944Z","SELL","TAKER","MARKET","YFI-USD","5426","0.5555","1.507071"
"2023-10-01T05:44:59.770Z","BUY","TAKER","MARKET","YFI-USD","5386","0.3","0.8079"
"2023-10-01T05:12:00.935Z","BUY","TAKER","STOP_MARKET","YFI-USD","5328","0.3","0.7992"
"2023-09-28T16:03:17.956Z","BUY","TAKER","MARKET","ALGO-USD","0.0983","5000","0.24575"
"2023-09-27T17:29:11.979Z","SELL","TAKER","MARKET","YFI-USD","5186","0.3","0.7779"
"2023-09-27T11:49:03.858Z","BUY","TAKER","STOP_MARKET","BTC-USD","26737","0.3","4.01055"
"2023-09-24T18:29:04.504Z","SELL","TAKER","MARKET","BTC-USD","26559","0.3","3.98385"
